[2026-04-29T13:14:40.953837] seq_id=59, LNA=1, Filter=2, Center=1, Mixer=0.464dBm, IFAmp=16.886dB, EVM=97.560%, Status=0
[2026-04-29T13:14:41.086048] seq_id=60, LNA=1, Filter=2, Center=1, Mixer=0.486dBm, IFAmp=16.891dB, EVM=97.570%, Status=0
[2026-04-29T13:14:41.267582] seq_id=61, LNA=1, Filter=2, Center=1, Mixer=0.490dBm, IFAmp=16.848dB, EVM=97.579%, Status=0
[2026-04-29T13:14:41.396125] seq_id=62, LNA=1, Filter=2, Center=1, Mixer=0.489dBm, IFAmp=16.860dB, EVM=97.568%, Status=0
[2026-04-29T13:14:41.522295] seq_id=63, LNA=1, Filter=2, Center=1, Mixer=0.479dBm, IFAmp=16.869dB, EVM=97.564%, Status=0
[2026-04-29T13:14:41.645297] seq_id=64, LNA=1, Filter=2, Center=1, Mixer=0.474dBm, IFAmp=16.872dB, EVM=97.567%, Status=0
[2026-04-29T13:14:41.770610] seq_id=65, LNA=1, Filter=2, Center=1, Mixer=0.475dBm, IFAmp=16.855dB, EVM=97.574%, Status=0
[2026-04-29T13:14:41.895979] seq_id=66, LNA=1, Filter=2, Center=1, Mixer=0.484dBm, IFAmp=16.829dB, EVM=97.579%, Status=0
[2026-04-29T13:14:42.020676] seq_id=67, LNA=1, Filter=2, Center=1, Mixer=0.479dBm, IFAmp=16.882dB, EVM=97.570%, Status=0
[2026-04-29T13:14:42.145394] seq_id=68, LNA=1, Filter=2, Center=1, Mixer=0.471dBm, IFAmp=16.900dB, EVM=97.568%, Status=0
[2026-04-29T13:14:42.314615] seq_id=69, LNA=1, Filter=2, Center=1, Mixer=0.469dBm, IFAmp=16.790dB, EVM=97.581%, Status=0
[2026-04-29T13:14:42.464377] seq_id=70, LNA=1, Filter=2, Center=1, Mixer=0.473dBm, IFAmp=16.863dB, EVM=97.577%, Status=0
[2026-04-29T13:14:42.616985] seq_id=71, LNA=1, Filter=2, Center=1, Mixer=0.489dBm, IFAmp=16.896dB, EVM=97.560%, Status=0
[2026-04-29T13:14:42.773414] seq_id=72, LNA=1, Filter=2, Center=1, Mixer=0.471dBm, IFAmp=16.864dB, EVM=97.558%, Status=0
[2026-04-29T13:14:42.956702] seq_id=73, LNA=1, Filter=2, Center=1, Mixer=0.507dBm, IFAmp=16.876dB, EVM=97.573%, Status=0
[2026-04-29T13:14:43.088560] seq_id=74, LNA=1, Filter=2, Center=1, Mixer=0.478dBm, IFAmp=16.856dB, EVM=97.561%, Status=0
[2026-04-29T13:14:43.220021] seq_id=75, LNA=1, Filter=2, Center=1, Mixer=0.471dBm, IFAmp=16.860dB, EVM=97.584%, Status=0
[2026-04-29T13:14:43.343475] seq_id=76, LNA=1, Filter=2, Center=1, Mixer=0.477dBm, IFAmp=16.812dB, EVM=97.577%, Status=0
[2026-04-29T13:14:43.483860] seq_id=77, LNA=1, Filter=2, Center=1, Mixer=0.476dBm, IFAmp=16.820dB, EVM=97.578%, Status=0
[2026-04-29T13:14:43.663657] seq_id=78, LNA=1, Filter=2, Center=1, Mixer=0.481dBm, IFAmp=16.935dB, EVM=97.573%, Status=0
[2026-04-29T13:14:43.791640] seq_id=79, LNA=1, Filter=2, Center=1, Mixer=0.483dBm, IFAmp=16.897dB, EVM=97.556%, Status=0
[2026-04-29T13:14:43.916861] seq_id=80, LNA=1, Filter=2, Center=1, Mixer=0.483dBm, IFAmp=16.801dB, EVM=97.568%, Status=0
[2026-04-29T13:14:44.046162] seq_id=81, LNA=1, Filter=2, Center=1, Mixer=0.493dBm, IFAmp=16.889dB, EVM=97.573%, Status=0
[2026-04-29T13:14:44.228504] seq_id=82, LNA=1, Filter=2, Center=1, Mixer=0.475dBm, IFAmp=16.954dB, EVM=97.561%, Status=0
[2026-04-29T13:14:44.365859] seq_id=83, LNA=1, Filter=2, Center=1, Mixer=0.465dBm, IFAmp=16.877dB, EVM=97.559%, Status=0
[2026-04-29T13:14:44.550535] seq_id=84, LNA=1, Filter=2, Center=1, Mixer=0.462dBm, IFAmp=16.878dB, EVM=97.556%, Status=0
[2026-04-29T13:14:44.686638] seq_id=85, LNA=1, Filter=2, Center=1, Mixer=0.465dBm, IFAmp=16.911dB, EVM=97.576%, Status=0
[2026-04-29T13:14:44.873632] seq_id=86, LNA=1, Filter=2, Center=1, Mixer=0.492dBm, IFAmp=16.816dB, EVM=97.559%, Status=0
[2026-04-29T13:14:45.054120] seq_id=87, LNA=1, Filter=2, Center=1, Mixer=0.497dBm, IFAmp=16.851dB, EVM=97.585%, Status=0
[2026-04-29T13:14:45.181089] seq_id=88, LNA=1, Filter=2, Center=1, Mixer=0.496dBm, IFAmp=16.862dB, EVM=97.563%, Status=0
[2026-04-29T13:14:45.363227] seq_id=89, LNA=1, Filter=2, Center=1, Mixer=0.481dBm, IFAmp=16.862dB, EVM=97.582%, Status=0
[2026-04-29T13:14:45.498308] seq_id=90, LNA=1, Filter=2, Center=1, Mixer=0.483dBm, IFAmp=16.851dB, EVM=97.561%, Status=0
[2026-04-29T13:14:45.673736] seq_id=91, LNA=1, Filter=2, Center=1, Mixer=0.460dBm, IFAmp=16.932dB, EVM=97.559%, Status=0
[2026-04-29T13:14:45.836947] seq_id=92, LNA=1, Filter=2, Center=1, Mixer=0.483dBm, IFAmp=16.814dB, EVM=97.576%, Status=0
[2026-04-29T13:14:45.965581] seq_id=93, LNA=1, Filter=2, Center=1, Mixer=0.479dBm, IFAmp=16.898dB, EVM=97.557%, Status=0
[2026-04-29T13:14:46.090652] seq_id=94, LNA=1, Filter=2, Center=1, Mixer=0.487dBm, IFAmp=16.873dB, EVM=97.562%, Status=0
[2026-04-29T13:14:46.271377] seq_id=95, LNA=1, Filter=2, Center=1, Mixer=0.488dBm, IFAmp=16.888dB, EVM=97.564%, Status=0
[2026-04-29T13:14:46.398471] seq_id=96, LNA=1, Filter=2, Center=1, Mixer=0.498dBm, IFAmp=16.843dB, EVM=97.569%, Status=0
[2026-04-29T13:14:46.524843] seq_id=97, LNA=1, Filter=2, Center=1, Mixer=0.449dBm, IFAmp=16.954dB, EVM=97.573%, Status=0
